gender,age
M,3
M,27
M,23
M,34
K,26
M,44
K,17
M,14
M,9
M,16
M,48
K,47
M,14
K,6
M,3
M,52
K,49
K,21
M,13
K,11
M,2
M,41
K,30
K,4
M,2
K,38
K,26
M,33
K,26
M,2
M,34
K,49
M,21
K,7
M,23
M,33
K,31
M,73
K,41
M,15
M,12
K,5
M,2
M,37
K,38
M,30
K,30
M,8
M,3
M,40
K,30
K,53
M,35
K,30
K,3
K,1
M,41
K,38
M,3
K,46
M,17
M,14
M,12
M,27
M,49
K,55
M,29
K,28
K,3
K,17
M,66
M,33
K,31
K,4
M,1
M,46
K,45
K,16
M,22
M,26
M,44
K,46
M,41
K,40
K,20
K,16
K,14
M,13
K,81
K,21
M,50
K,45
M,19
K,14
M,11
K,9
K,4
M,25
M,25
M,51
K,40
K,14
M,11
M,9
M,7
K,5
M,36
K,27
M,8
M,6
M,3
K,47
K,35
M,42
K,28
M,5
K,2
M,47
K,43
K,13
M,61
K,35
K,30
M,27
M,27
M,34
K,21
K,27
K,68
K,19
K,54
M,20
M,30
M,26
K,2
K,62
M,32
K,28
K,2
K,1
K,14
K,33
K,11
M,4
M,3
M,1
K,54
M,45
K,42
K,13
M,2
M,27
K,35
K,25
M,31
K,33
K,9
K,7
M,6
K,4
M,2
M,1
K,31
K,50
K,15
M,9
M,7
M,29
M,43
K,43
K,10
K,7
K,5
K,19
K,59
K,21
M,17
K,11
K,21
M,54
K,54
K,14
M,34
K,48
M,12
M,7
K,25
M,35
K,40
K,6
K,2
M,43
K,45
K,18
M,15
K,13
M,11
K,9
M,6
M,54
K,49
K,12
M,23
M,15
M,30
K,28
K,2
M,58
K,42
M,4
M,61
K,70
K,19
M,60
K,48
K,9
M,17
M,30
K,25
M,50
K,48
K,21
K,15
K,8
M,33
K,26
M,9
M,3
K,1
M,35
K,36
K,10
K,8
M,5
M,2
M,61
K,70
K,35
K,65
K,35
M,34
M,56
K,45
M,15
K,11
M,41
K,11
K,9
K,18
K,64
K,60
M,31
K,39
K,6
M,4
M,1
M,42
K,31
K,6
M,3
M,1
M,40
K,41
K,9
K,2
K,38
M,37
K,39
M,15
M,35
K,31
K,2
M,39
K,37
M,5
K,2
M,28
K,34
M,1
M,81
K,37
K,28
M,35
M,28
K,22
M,29
K,24
M,54
K,45
M,6
K,40
K,36
M,43
K,35
M,13
M,2
K,60
K,52
M,39
K,39
M,8
M,3
K,29
M,2
K,59
M,33
M,19
M,53
K,51
K,16
M,NULL
K,42
K,20
K,18
K,16
K,14
K,10
K,9
K,8
M,23
M,16
M,27
K,29
K,22
K,17
M,72
K,54
K,38
K,21
M,19
M,13
M,12
M,11
K,24
K,19
M,34
K,33
K,8
K,7
M,6
K,5
K,4
K,3
M,26
M,24
M,32
K,22
K,28
K,22
K,28
M,43
K,41
M,18
M,11
K,10
K,8
M,3
M,16
K,22
K,25
K,23
